Yellow Wind for Adriatic coastModerate Wind warning,in 3 hours,Montenegro,Adriatic coast,Region VI - Europe,2023-01-11 22:08,"Adriatic coast, Montenegro","(None, None)"
Severe Thunderstorm Warning for North East Pastoral forecast districtThunderstorm,7 minutes ago,Australia,South Australia: North East Pastoral,Region V - South West Pacific,2023-01-11 22:08,"South Australia: North East Pastoral, Australia","(None, None)"
WindWind,7 minutes ago,Russian Federation,Omsk Region,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Omsk Region, Russian Federation","(None, None)"
Low temperatureLow temperature,7 minutes ago,Russian Federation,South of Taymyrskiy Dolgano-Nenetskiy m.r.,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"South of Taymyrskiy Dolgano-Nenetskiy m.r., Russian Federation","(None, None)"
"Freezing rain, icingFreezing rain, icing",7 minutes ago,Russian Federation,Krasnodar Krai,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Krasnodar Krai, Russian Federation","(None, None)"
SnowSnow,7 minutes ago,Russian Federation,Zabaykalsky Krai,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Zabaykalsky Krai, Russian Federation","(None, None)"
Other dangersOther dangers,7 minutes ago,Russian Federation,Orenburg Region,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Orenburg Region, Russian Federation","(None, None)"
Low temperatureLow temperature,7 minutes ago,Russian Federation,Tuva Republic,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Tuva Republic, Russian Federation","(None, None)"
Other dangersOther dangers,7 minutes ago,Russian Federation,Ivanovo Region,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Ivanovo Region, Russian Federation","(None, None)"
Other dangersOther dangers,7 minutes ago,Russian Federation,Yaroslavl Region,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Yaroslavl Region, Russian Federation","(None, None)"
Other dangersOther dangers,7 minutes ago,Russian Federation,Republic of Tatarstan,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Republic of Tatarstan, Russian Federation","(None, None)"
"Freezing rain, icingFreezing rain, icing",7 minutes ago,Russian Federation,Tomsk Region,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Tomsk Region, Russian Federation","(None, None)"
FogFog,7 minutes ago,Russian Federation,Krasnodar Krai,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Krasnodar Krai, Russian Federation","(None, None)"
WindWind,7 minutes ago,Russian Federation,Republic of Kalmykia,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Republic of Kalmykia, Russian Federation","(None, None)"
WindWind,7 minutes ago,Russian Federation,Zabaykalsky Krai,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Zabaykalsky Krai, Russian Federation","(None, None)"
Low temperatureLow temperature,7 minutes ago,Russian Federation,Samara Region,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Samara Region, Russian Federation","(None, None)"
Other dangersOther dangers,7 minutes ago,Russian Federation,Altai Republic,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Altai Republic, Russian Federation","(None, None)"
Low temperatureLow temperature,7 minutes ago,Russian Federation,Saratov Region,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Saratov Region, Russian Federation","(None, None)"
AvalanchesAvalanches,7 minutes ago,Russian Federation,South of Taymyrskiy Dolgano-Nenetskiy m.r.,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"South of Taymyrskiy Dolgano-Nenetskiy m.r., Russian Federation","(None, None)"
Low temperatureLow temperature,7 minutes ago,Russian Federation,Tomsk Region,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Tomsk Region, Russian Federation","(None, None)"
Other dangersOther dangers,7 minutes ago,Russian Federation,Tuva Republic,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Tuva Republic, Russian Federation","(None, None)"
Other dangersOther dangers,7 minutes ago,Russian Federation,Republic of Khakassia,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Republic of Khakassia, Russian Federation","(None, None)"
WindWind,7 minutes ago,Russian Federation,Nenets Autonomous District,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Nenets Autonomous District, Russian Federation","(None, None)"
AvalanchesAvalanches,7 minutes ago,Russian Federation,South of Krasnoyarsk Krai,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"South of Krasnoyarsk Krai, Russian Federation","(None, None)"
Other dangersOther dangers,7 minutes ago,Russian Federation,Astrakhan Region,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Astrakhan Region, Russian Federation","(None, None)"
Other dangersOther dangers,7 minutes ago,Russian Federation,Republic of Ingushetia,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Republic of Ingushetia, Russian Federation","(None, None)"
Other dangersOther dangers,7 minutes ago,Russian Federation,Kemerovo Region,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Kemerovo Region, Russian Federation","(None, None)"
Low temperatureLow temperature,7 minutes ago,Russian Federation,Republic of Khakassia,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Republic of Khakassia, Russian Federation","(None, None)"
Other dangersOther dangers,7 minutes ago,Russian Federation,South of Krasnoyarsk Krai,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"South of Krasnoyarsk Krai, Russian Federation","(None, None)"
AvalanchesAvalanches,7 minutes ago,Russian Federation,Tuva Republic,Region II - AsiaRegion VI - Europe,2023-01-11 22:08,"Tuva Republic, Russian Federation","(None, None)"
